"","player1","player2","player3","player4","player5","player6","player7","player8","player9","player10","avg_wins","undefeated_chance"
"14",526,941,345,580,329,441,632,971,535,849,10.7211213848179,6.9323784237662e-06
"9",526,941,345,580,329,441,264,632,535,849,10.7437662820954,6.91437074510686e-06
"8",526,941,345,580,329,441,264,632,971,535,10.7643903732604,6.89951648232835e-06
"13",526,941,345,580,329,441,632,971,122,535,10.7323833508616,6.85740473377013e-06
"19",526,941,345,580,329,632,971,122,535,849,10.6831815598367,6.81877119763357e-06
"5",526,941,345,580,329,441,264,367,632,535,10.7863215787547,6.8155414831538e-06
"6",526,941,345,580,329,441,264,367,535,849,10.7433390258022,6.73810233518853e-06
"18",526,941,345,580,329,632,971,122,648,535,10.7046711892423,6.73648694816674e-06
"15",526,941,345,580,329,441,632,535,849,998,10.6947790486782,6.69189645801689e-06
"23",526,941,345,580,632,971,122,648,535,849,10.6529830545196,6.66354859870241e-06
